name,code,level,es,ms,hs,configuration,type,ward,lat,lon,modernization,mod_status,facilitiesconditionindex_2008,facilitiesconditionindex_2013,fortyforty,sy15_estenroll_total,sy15_estenroll_ps,sy15_estenroll_pk,sy15_estenroll_kg,sy15_estenroll_01,sy15_estenroll_02,sy15_estenroll_03,sy15_estenroll_04,sy15_estenroll_05,sy15_estenroll_06,sy15_estenroll_07,sy15_estenroll_08,sy15_estenroll_09,sy15_estenroll_10,sy15_estenroll_11,sy15_estenroll_12,sy15_estenroll_ao,sy15_estenroll_retained,sy15_estenroll_ell,sy15_estenroll_farm,sy15_estenroll_homelessfoster,sy15_estenroll_sped,sy15_estenroll_atrisk
Roosevelt STAY,456,ao,FALSE,FALSE,FALSE,STAY,Vocational Shared Time,4,38.94360856,-77.02777641,,,,,FALSE,655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,655,0,39,206,131,38,0
Ross ES,305,es,TRUE,FALSE,FALSE,Elementary School,Regular,2,38.91239115,-77.03966214,Phase,inProgress,Unsatisfactory,TBD,FALSE,168,15,20,28,29,20,25,20,11,0,0,0,0,0,0,0,0,4,34,22,2,8,13
Savoy ES,307,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.86285199,-76.99360426,Full,complete,Good,Fair,TRUE,419,30,40,53,59,70,65,46,56,0,0,0,0,0,0,0,0,102,6,338,24,40,306
School Without Walls EC,466,campus,TRUE,TRUE,TRUE,Education Campus,Magnet,2,38.89812412,-77.04818647,Full,complete,Good,TBD,FALSE,909,20,44,31,29,22,23,18,19,34,43,41,139,143,153,140,10,33,25,165,13,49,143
School-Within-School @ Goding,175,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.89756498,-76.99318304,,,,,FALSE,243,31,41,46,42,43,40,0,0,0,0,0,0,0,0,0,0,0,0,21,2,34,19
Seaton ES,309,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.9106187,-77.02488247,Phase,inProgress,Unsatisfactory,TBD,FALSE,278,43,54,41,36,29,25,27,23,0,0,0,0,0,0,0,0,30,126,140,4,37,143
Sharpe Health School,312,campus,TRUE,TRUE,TRUE,SPED Center,Special Education,4,38.94347466,-77.03046833,None,none,na,Fair,FALSE,67,0,0,2,2,2,10,11,6,3,1,0,0,0,0,0,30,0,5,39,1,67,34
Shepherd ES,313,es,TRUE,FALSE,FALSE,Elementary School,Regular,4,38.98460328,-77.03399523,None,planned,Unsatisfactory,Poor,FALSE,321,16,38,55,44,39,43,46,40,0,0,0,0,0,0,0,0,14,5,67,4,27,49
Simon ES,315,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.83598054,-77.000195,Phase,inProgress,Unsatisfactory,TBD,TRUE,310,22,29,40,50,51,36,48,34,0,0,0,0,0,0,0,0,63,2,238,29,46,236
Smothers ES,322,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.89355404,-76.93846864,None,planned,Poor,Fair,TRUE,304,31,42,43,34,47,37,45,25,0,0,0,0,0,0,0,0,46,3,224,39,44,216
Sousa MS,427,ms,FALSE,TRUE,FALSE,Middle School,Regular,7,38.88389441,-76.95315884,Full,complete,Fair,TBD,FALSE,286,0,0,0,0,0,0,0,0,85,82,119,0,0,0,0,0,84,0,240,32,59,199
Stanton ES,319,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.85927211,-76.96849023,Full,complete,Unsatisfactory,TBD,TRUE,607,30,60,76,90,91,83,86,91,0,0,0,0,0,0,0,0,123,1,526,83,80,504
Stoddert ES,321,es,TRUE,FALSE,FALSE,Elementary School,Regular,3,38.92304465,-77.0790738,Full,complete,Good,TBD,FALSE,429,0,40,72,81,78,74,56,28,0,0,0,0,0,0,0,0,5,73,21,2,23,16
Stuart-Hobson MS,428,ms,FALSE,TRUE,FALSE,Middle School,Regular,6,38.8962977,-77.00000438,None,planned,Unsatisfactory,TBD,FALSE,424,0,0,0,0,0,0,0,0,140,145,139,0,0,0,0,0,27,3,173,4,52,129
Takoma EC,324,campus,TRUE,TRUE,FALSE,Education Campus,Vocational Shared Time,4,38.97504287,-77.02279493,Future Full,complete,Poor,TBD,FALSE,458,31,42,46,57,63,41,35,31,39,37,36,0,0,0,0,0,47,115,220,10,81,213
Thomas ES,325,es,TRUE,FALSE,FALSE,Elementary School,Regular,7,38.90127897,-76.95211091,Phase,inProgress,Unsatisfactory,TBD,TRUE,435,34,50,65,67,68,55,56,40,0,0,0,0,0,0,0,0,78,1,336,39,82,324
Thomson ES,326,es,TRUE,FALSE,FALSE,Elementary School,Regular,2,38.90349634,-77.02843003,Full (Pre 2008),complete,Fair,TBD,FALSE,280,31,36,43,43,38,35,28,26,0,0,0,0,0,0,0,0,34,189,148,2,44,116
Truesdell EC,327,campus,TRUE,TRUE,FALSE,Education Campus,Regular,4,38.95396869,-77.02507158,Phase,inProgress,Unsatisfactory,TBD,FALSE,484,33,49,69,59,59,48,25,36,38,27,41,0,0,0,0,0,62,256,318,7,84,257
Tubman ES,328,es,TRUE,FALSE,FALSE,Elementary School,Regular,1,38.92919857,-77.0294433,Phase,inProgress,Unsatisfactory,TBD,FALSE,527,33,36,87,90,92,69,65,55,0,0,0,0,0,0,0,0,105,179,357,82,71,332
Turner ES,329,es,TRUE,FALSE,FALSE,Elementary School,Regular,8,38.84763644,-76.98031323,Full,complete,Good,TBD,TRUE,426,38,49,57,63,61,56,53,49,0,0,0,0,0,0,0,0,60,0,338,17,39,332
Tyler ES,330,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.88108436,-76.99204166,Phase,inProgress,Unsatisfactory,TBD,TRUE,549,63,81,83,82,93,68,47,32,0,0,0,0,0,0,0,0,41,6,223,16,71,221
Walker-Jones EC,332,campus,TRUE,TRUE,FALSE,Education Campus,Regular,6,38.90419198,-77.01391569,Full,complete,Good,TBD,TRUE,461,38,48,53,52,55,36,34,25,32,40,48,0,0,0,0,0,84,12,368,31,110,331
Washington Metropolitan HS,474,hs,FALSE,FALSE,TRUE,High School,Regular,1,38.92043047,-77.01558101,na,,na,TBD,TRUE,304,0,0,0,0,0,0,0,0,0,0,0,131,79,69,25,0,94,4,181,23,46,0
Watkins ES,333,es,TRUE,FALSE,FALSE,Elementary School,Regular,6,38.88346701,-76.98999677,None,planned,Unsatisfactory,Unsatisfactory,FALSE,523,0,0,0,88,100,94,128,113,0,0,0,0,0,0,0,0,31,3,145,12,39,113
West EC,336,campus,TRUE,TRUE,FALSE,Education Campus,Regular,4,38.95136741,-77.03225306,None,planned,Unsatisfactory,Good,FALSE,273,30,40,28,20,30,20,18,23,20,24,20,0,0,0,0,0,19,14,112,13,29,93
